epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8869969248771667,0.0010000000474974513,0.2462715208530426,0.6910569071769714,0.7482131123542786
1,0.9520123600959778,0.0010000000474974513,0.13341324031352997,0.8455284833908081,0.36920350790023804
2,0.9465944170951843,0.0010000000474974513,0.14210793375968933,0.9214091897010803,0.2103753685951233
3,0.9589783549308777,0.0010000000474974513,0.1234123632311821,0.9512194991111755,0.12996205687522888
4,0.9597523212432861,0.0010000000474974513,0.12299954891204834,0.924119234085083,0.21176211535930634
5,0.9442724585533142,0.0010000000474974513,0.1470145434141159,0.9295393228530884,0.20707061886787415
6,0.957430362701416,0.0010000000474974513,0.10765473544597626,0.9620596170425415,0.10286827385425568
7,0.9613003134727478,0.0010000000474974513,0.09876319766044617,0.9512194991111755,0.1622956544160843
8,0.9643962979316711,0.0010000000474974513,0.09749936312437057,0.9728997349739075,0.08830583840608597
9,0.9659442901611328,0.0010000000474974513,0.09543926268815994,0.9701896905899048,0.10035815089941025
10,0.9589783549308777,0.0010000000474974513,0.09784568846225739,0.9647696614265442,0.12024331092834473
11,0.9674922823905945,0.0010000000474974513,0.08657137304544449,0.9701896905899048,0.09832456707954407
12,0.9643962979316711,0.0005000000237487257,0.09138494729995728,0.9647696614265442,0.09404101222753525
13,0.9698142409324646,0.0005000000237487257,0.09015960246324539,0.9701896905899048,0.07469822466373444
14,0.970588207244873,0.0005000000237487257,0.0684962198138237,0.9728997349739075,0.05632222071290016
15,0.9752321839332581,0.0005000000237487257,0.06304102391004562,0.9756097793579102,0.05405658483505249
16,0.977554202079773,0.0005000000237487257,0.058166757225990295,0.9728997349739075,0.07124971598386765
17,0.9674922823905945,0.0005000000237487257,0.0845840573310852,0.9647696614265442,0.1250908076763153
18,0.9736841917037964,0.0005000000237487257,0.07821498811244965,0.9674796462059021,0.08936526626348495
19,0.9690402746200562,0.0002500000118743628,0.07488126307725906,0.9728997349739075,0.0941806361079216
20,0.9829721450805664,0.0002500000118743628,0.0545169897377491,0.9701896905899048,0.09690046310424805
21,0.9760062098503113,0.0002500000118743628,0.056198038160800934,0.9701896905899048,0.06834064424037933
22,0.9760062098503113,0.0001250000059371814,0.06396462768316269,0.9756097793579102,0.06220693141222
23,0.9736841917037964,0.0001250000059371814,0.06256555020809174,0.9728997349739075,0.06706830859184265
24,0.9767801761627197,0.0001250000059371814,0.05281451344490051,0.9756097793579102,0.06340979039669037
25,0.977554202079773,6.25000029685907e-05,0.05462338402867317,0.9728997349739075,0.06489838659763336
