epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7004643678665161,9.999999747378752e-05,0.5833045244216919,0.8861788511276245,0.3166806101799011
1,0.8738390207290649,9.999999747378752e-05,0.29754120111465454,0.913279116153717,0.2382589876651764
2,0.8993808031082153,9.999999747378752e-05,0.25067979097366333,0.9485095143318176,0.16844318807125092
3,0.9210526347160339,9.999999747378752e-05,0.20413541793823242,0.924119234085083,0.18532395362854004
4,0.9287925958633423,9.999999747378752e-05,0.18650057911872864,0.9268292784690857,0.17041008174419403
5,0.9342105388641357,9.999999747378752e-05,0.16452986001968384,0.9430894255638123,0.1354207545518875
6,0.9427244663238525,9.999999747378752e-05,0.1598770171403885,0.9457994699478149,0.13662351667881012
7,0.9404024481773376,9.999999747378752e-05,0.1573837846517563,0.9593495726585388,0.12471023947000504
8,0.9582043290138245,9.999999747378752e-05,0.13050027191638947,0.9485095143318176,0.12214070558547974
9,0.9496904015541077,9.999999747378752e-05,0.12930090725421906,0.9457994699478149,0.14262555539608002
10,0.9512383937835693,9.999999747378752e-05,0.12553027272224426,0.9593495726585388,0.11235158890485764
11,0.9551083445549011,9.999999747378752e-05,0.1315620392560959,0.9539295434951782,0.12043887376785278
12,0.9543343782424927,9.999999747378752e-05,0.1242256909608841,0.9512194991111755,0.12780557572841644
13,0.9613003134727478,9.999999747378752e-05,0.11533805727958679,0.9539295434951782,0.14029806852340698
14,0.9628483057022095,4.999999873689376e-05,0.11446890980005264,0.9593495726585388,0.10146845877170563
15,0.9589783549308777,4.999999873689376e-05,0.12411890923976898,0.9701896905899048,0.0970533937215805
16,0.9651702642440796,4.999999873689376e-05,0.10507961362600327,0.9566395878791809,0.10602076351642609
17,0.9605262875556946,4.999999873689376e-05,0.1087832823395729,0.9647696614265442,0.09910345822572708
18,0.9605262875556946,4.999999873689376e-05,0.10177066922187805,0.9593495726585388,0.09879650175571442
19,0.9651702642440796,2.499999936844688e-05,0.09070230275392532,0.9620596170425415,0.0848306342959404
20,0.9667182564735413,2.499999936844688e-05,0.10104503482580185,0.9512194991111755,0.10751132667064667
21,0.9597523212432861,2.499999936844688e-05,0.1037655770778656,0.9701896905899048,0.09008857607841492
22,0.9682662487030029,2.499999936844688e-05,0.08244314789772034,0.9620596170425415,0.10331141203641891
23,0.9589783549308777,1.249999968422344e-05,0.10474064201116562,0.9674796462059021,0.10500574856996536
24,0.9589783549308777,1.249999968422344e-05,0.1016145721077919,0.9647696614265442,0.09910367429256439
25,0.9628483057022095,1.249999968422344e-05,0.112905353307724,0.9674796462059021,0.09875550121068954
