epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9156346917152405,0.0010000000474974513,0.20426787436008453,0.8834688067436218,0.2674540579319
1,0.952786386013031,0.0010000000474974513,0.12601245939731598,0.9566395878791809,0.1312139630317688
2,0.9744582176208496,0.0010000000474974513,0.06369982659816742,0.9620596170425415,0.09135445952415466
3,0.9791021943092346,0.0010000000474974513,0.0602596253156662,0.9810298085212708,0.06215209886431694
4,0.9744582176208496,0.0010000000474974513,0.05776205658912659,0.9783197641372681,0.04574241861701012
5,0.9852941036224365,0.0010000000474974513,0.04347752779722214,0.9837398529052734,0.03661423549056053
6,0.9783281683921814,0.0010000000474974513,0.04890599101781845,0.9864498376846313,0.042921777814626694
7,0.9806501269340515,0.0010000000474974513,0.05085163190960884,0.9918699264526367,0.030262835323810577
8,0.9729102253913879,0.0010000000474974513,0.06284835934638977,0.9945799708366394,0.025247668847441673
9,0.9860681295394897,0.0010000000474974513,0.04244709014892578,0.9945799708366394,0.026445267722010612
10,0.9914860725402832,0.0010000000474974513,0.024138055741786957,0.9945799708366394,0.026356548070907593
11,0.9845201373100281,0.0010000000474974513,0.04037825018167496,0.9945799708366394,0.020352168008685112
12,0.9860681295394897,0.0010000000474974513,0.040515877306461334,0.9918699264526367,0.020069360733032227
13,0.9914860725402832,0.0010000000474974513,0.02656474895775318,0.989159882068634,0.020377887412905693
14,0.9876161217689514,0.0010000000474974513,0.04207146167755127,0.989159882068634,0.028996052220463753
15,0.9821981191635132,0.0010000000474974513,0.03994806483387947,0.989159882068634,0.024095308035612106
16,0.9883900880813599,0.0005000000237487257,0.027814717963337898,0.9945799708366394,0.010345922783017159
17,0.9899380803108215,0.0005000000237487257,0.025273319333791733,0.9945799708366394,0.014921832829713821
18,0.9914860725402832,0.0005000000237487257,0.018420742824673653,0.9945799708366394,0.010311882942914963
19,0.9891641139984131,0.0005000000237487257,0.02112123928964138,0.9945799708366394,0.010119955986738205
20,0.9914860725402832,0.0005000000237487257,0.020049450919032097,0.9945799708366394,0.017590338364243507
21,0.99071204662323,0.0005000000237487257,0.020589463412761688,0.9945799708366394,0.01815585047006607
22,0.9883900880813599,0.0005000000237487257,0.036913711577653885,0.9945799708366394,0.014500541612505913
23,0.9876161217689514,0.0002500000118743628,0.026406025514006615,0.9945799708366394,0.019934121519327164
24,0.9914860725402832,0.0002500000118743628,0.029765702784061432,0.9945799708366394,0.007674058899283409
25,0.9961300492286682,0.0002500000118743628,0.014879072085022926,0.9972899556159973,0.012716726399958134
26,0.995356023311615,0.0002500000118743628,0.012941678985953331,1.0,0.004052544012665749
27,0.9961300492286682,0.0002500000118743628,0.01955101452767849,0.9945799708366394,0.015236221253871918
28,0.9938080310821533,0.0002500000118743628,0.022386161610484123,0.9972899556159973,0.011847828514873981
29,0.9883900880813599,0.0002500000118743628,0.023647490888834,0.9945799708366394,0.014787503518164158
30,0.9938080310821533,0.0001250000059371814,0.013718522153794765,1.0,0.006197913084179163
31,0.9922600388526917,0.0001250000059371814,0.01636766828596592,0.9864498376846313,0.021611642092466354
32,0.99071204662323,0.0001250000059371814,0.023066068068146706,0.9972899556159973,0.012511213310062885
